pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,timestamp
79.7243270874,728.3225708008,-14.8654661179,-15.7090082169,,,,,-27.1989612579,,1770496272.521452
79.8461303711,728.2841796875,-15.2702178955,-15.7090082169,,,,,-27.8356208801,,1770496272.531991
79.8461303711,728.2457275391,-15.5277786255,-15.58751297,,,,,-27.9974861145,,1770496272.5431192
79.7852325439,729.4752197266,-15.2702178955,-15.7090082169,,,,,-28.1593494415,,1770496272.5536408
79.8461303711,728.0536499023,-15.2702178955,-15.7697677612,,,,,-27.3572273254,,1770496272.564946
79.2372360229,727.9383544922,-14.8654661179,-15.1622934341,,,,,-28.0981998444,,1770496272.576738
79.9679031372,728.2072753906,-14.9390554428,-15.2230291367,,,,,-27.4651355743,,1770496272.587334
79.9070053101,727.9383544922,-15.6381616592,-15.7697677612,,,,,-28.0082740784,,1770496272.597203
79.7852325439,727.9768066406,-15.6013669968,-15.6482725143,,,,,-27.9219474792,,1770496272.6095202
79.7243270874,728.0151977539,-15.3806009293,-15.58751297,,,,,-27.3895988464,,1770496272.620847
79.9679031372,728.2841796875,-15.6013669968,-15.7090082169,,,,,-27.5083007812,,1770496272.63261
79.9679031372,728.3610229492,-14.9390554428,-15.1622934341,,,,,-27.2924823761,,1770496272.641112
79.7243270874,728.2457275391,-14.9758491516,-15.6482725143,,,,,-27.5766410828,,1770496272.653867
79.7852325439,728.3225708008,-15.5645723343,-15.7090082169,,,,,-27.6198043823,,1770496272.664194
79.9070053101,728.3225708008,-15.2334241867,-15.6482725143,,,,,-27.8931732178,,1770496272.675104
79.7852325439,727.9768066406,-15.5277786255,-15.58751297,,,,,-27.5047016144,,1770496272.724546
80.0287780762,728.0151977539,-16.4108562469,-15.7697677612,,,,,-27.3931980133,,1770496272.7354932
79.9070053101,727.9768066406,-15.307012558,-15.1015338898,,,,,-27.5982246399,,1770496272.747046
79.7243270874,728.1304931641,-15.2702178955,-15.8912620544,,,,,-27.4795246124,,1770496272.756667
79.9679031372,723.6350708008,-15.2702178955,-15.7697677612,,,,,-27.7600860596,,1770496272.768636
79.8461303711,728.0151977539,-15.2702178955,-15.7697677612,,,,,-28.1269760132,,1770496272.779485
80.0287780762,727.9383544922,-15.8221330643,-15.2230291367,,,,,-27.6054172516,,1770496272.790772
79.7243270874,728.2072753906,-14.9758491516,-15.2230291367,,,,,-27.5838375092,,1770496272.801758
79.8461303711,728.1688842773,-15.0126438141,-15.1622934341,,,,,-27.9471282959,,1770496272.813091
79.9070053101,728.0536499023,-15.5277786255,-15.2230291367,,,,,-28.1017971039,,1770496272.82381
79.9679031372,728.3994140625,-15.2334241867,-15.6482725143,,,,,-27.7241172791,,1770496272.834856
79.9070053101,728.0151977539,-15.2702178955,-15.5267772675,,,,,-27.6449832916,,1770496272.845323
79.8461303711,727.9768066406,-14.3503465652,-15.8305025101,,,,,-28.0082740784,,1770496272.8571808
79.7852325439,728.0151977539,-15.3438072205,-15.58751297,,,,,-27.6270008087,,1770496272.868347
79.8461303711,728.0151977539,-15.2334241867,-15.1622934341,,,,,-27.6701641083,,1770496272.87963
79.9679031372,727.9383544922,-15.2334241867,-15.6482725143,,,,,-27.7061309814,,1770496272.890025
79.9070053101,727.9383544922,-15.6013669968,-15.2230291367,,,,,-27.011920929,,1770496272.9014258
79.7243270874,727.9768066406,-15.5645723343,-15.58751297,,,,,-27.5658512115,,1770496272.91269
79.9679031372,728.0151977539,-15.6013669968,-15.7090082169,,,,,-27.6485805511,,1770496272.923788
79.419883728,728.0151977539,-15.3806009293,-15.7697677612,,,,,-27.5406742096,,1770496272.93412
79.7852325439,728.3225708008,-15.2702178955,-15.6482725143,,,,,-27.5047016144,,1770496272.945894
79.9070053101,727.9768066406,-15.307012558,-15.6482725143,,,,,-27.6917438507,,1770496272.9569569
79.9679031372,728.2072753906,-15.5645723343,-15.7090082169,,,,,-27.4363613129,,1770496272.967943
79.9679031372,728.0151977539,-15.5645723343,-15.7697677612,,,,,-27.1270236969,,1770496272.978059
80.0287780762,727.3236083984,-15.2702178955,-15.7090082169,,,,,-28.0118732452,,1770496272.990062
79.419883728,727.7846679688,-15.2702178955,-15.1622934341,,,,,-27.3860034943,,1770496273.001726
79.9070053101,728.0536499023,-15.6381616592,-15.7090082169,,,,,-28.1773319244,,1770496273.012761
79.1763381958,728.0151977539,-14.9390554428,-15.6482725143,,,,,-27.5766410828,,1770496273.022835
79.9070053101,728.0920410156,-15.5277786255,-15.1015338898,,,,,-27.8859806061,,1770496273.035645
80.0896759033,728.2457275391,-15.5645723343,-15.7090082169,,,,,-26.979549408,,1770496273.045686
79.4807815552,728.3610229492,-15.307012558,-15.1622934341,,,,,-27.8787841797,,1770496273.056832
78.9936904907,728.2841796875,-15.2702178955,-15.2230291367,,,,,-27.6557750702,,1770496273.067054
79.9070053101,728.2841796875,-14.9758491516,-15.7697677612,,,,,-27.5442695618,,1770496273.079751
79.8461303711,727.8615112305,-14.9390554428,-15.8912620544,,,,,-27.6198043823,,1770496273.090007
79.9070053101,727.9768066406,-15.2334241867,-15.2837877274,,,,,-27.7205181122,,1770496273.101121
78.080368042,728.0920410156,-15.2702178955,-15.2230291367,,,,,-27.3824081421,,1770496273.1110132
79.7243270874,727.9768066406,-15.2334241867,-15.2230291367,,,,,-27.5730457306,,1770496273.122984
79.9070053101,727.9768066406,-15.2702178955,-15.1015338898,,,,,-27.5406742096,,1770496273.133902
79.9679031372,728.3994140625,-14.9390554428,-15.1622934341,,,,,-27.7672805786,,1770496273.144809
79.8461303711,728.0151977539,-14.9758491516,-15.7090082169,,,,,-27.529882431,,1770496273.1553679
79.8461303711,728.0151977539,-15.307012558,-15.4052829742,,,,,-27.9543209076,,1770496273.1669
79.9070053101,728.0536499023,-15.2702178955,-15.7090082169,,,,,-28.0370502472,,1770496273.177866
79.9679031372,728.0536499023,-15.307012558,-15.6482725143,,,,,-27.3931980133,,1770496273.188582
79.9679031372,727.9768066406,-15.5645723343,-15.6482725143,,,,,-27.6341915131,,1770496273.317256
79.9679031372,728.2841796875,-15.307012558,-15.6482725143,,,,,-27.3032722473,,1770496273.3277419
79.9679031372,727.8999023438,-15.307012558,-15.6482725143,,,,,-27.6270008087,,1770496273.338926
79.9070053101,728.3994140625,-15.3438072205,-15.2837877274,,,,,-27.8068447113,,1770496273.34918
79.8461303711,724.5571899414,-14.9758491516,-15.7090082169,,,,,-27.4903144836,,1770496273.360487
79.8461303711,728.0536499023,-15.5645723343,-15.2230291367,,,,,-27.3716163635,,1770496273.371326
79.9070053101,727.169921875,-14.9758491516,-15.7697677612,,,,,-27.8464126587,,1770496273.3829162
79.7243270874,728.0536499023,-14.9758491516,-15.1622934341,,,,,-27.8212337494,,1770496273.393074
79.7243270874,728.0536499023,-15.3806009293,-15.2230291367,,,,,-27.5838375092,,1770496273.404877
79.9679031372,728.1304931641,-14.9758491516,-15.7090082169,,,,,-27.3140640259,,1770496273.415592
79.3590087891,727.8999023438,-14.9390554428,-15.7697677612,,,,,-27.1593952179,,1770496273.4269419
79.9070053101,727.3236083984,-15.1966295242,-15.1622934341,,,,,-27.49751091,,1770496273.43778
78.9936904907,728.2457275391,-14.3503465652,-15.1622934341,,,,,-27.3572273254,,1770496273.449087
79.419883728,727.7462768555,-15.307012558,-15.1015338898,,,,,-27.7061309814,,1770496273.460031
79.9070053101,727.3236083984,-14.9390554428,-15.7090082169,,,,,-27.2673053741,,1770496273.470911
79.9070053101,727.7846679688,-14.9390554428,-15.2230291367,,,,,-27.8212337494,,1770496273.481386
79.9679031372,727.3236083984,-15.2702178955,-16.8024845123,,,,,-27.6917438507,,1770496273.493185
79.9070053101,728.1304931641,-15.2702178955,-15.6482725143,,,,,-27.7061309814,,1770496273.505261
79.9070053101,727.9768066406,-15.2334241867,-15.1622934341,,,,,-27.684551239,,1770496273.5453491
79.9679031372,727.3236083984,-15.2702178955,-15.6482725143,,,,,-27.2349319458,,1770496273.556105
79.9070053101,728.3994140625,-14.3503465652,-15.6482725143,,,,,-27.5658512115,,1770496273.567167
79.9070053101,727.7462768555,-14.9022607803,-15.4052829742,,,,,-27.6665649414,,1770496273.57746
79.3590087891,727.9768066406,-15.2334241867,-15.7090082169,,,,,-27.2349319458,,1770496273.5891368
79.9070053101,727.9768066406,-14.9758491516,-15.7090082169,,,,,-27.7349071503,,1770496273.600172
79.9070053101,727.8999023438,-15.2702178955,-15.1622934341,,,,,-27.6881465912,,1770496273.6115131
79.419883728,728.0920410156,-15.0126438141,-15.2837877274,,,,,-27.8859806061,,1770496273.621981
79.419883728,728.3225708008,-14.7918777466,-15.7090082169,,,,,-27.1342163086,,1770496273.633261
79.8461303711,727.8999023438,-15.0494375229,-15.7090082169,,,,,-27.3967952728,,1770496273.644421
79.8461303711,728.2841796875,-15.2702178955,-15.6482725143,,,,,-28.1665401459,,1770496273.65574
79.9679031372,728.3225708008,-15.2334241867,-15.7090082169,,,,,-27.9794998169,,1770496273.666373
79.3590087891,728.3610229492,-15.2334241867,-15.8305025101,,,,,-27.328453064,,1770496273.6780312
79.7852325439,728.2457275391,-15.5645723343,-15.6482725143,,,,,-27.832025528,,1770496273.688969
79.9679031372,728.3994140625,-14.8654661179,-15.7090082169,,,,,-27.8967704773,,1770496273.70002
79.9070053101,728.2841796875,-15.2702178955,-15.7697677612,,,,,-27.1989612579,,1770496273.7537122
79.7243270874,728.5146484375,-15.0494375229,-15.6482725143,,,,,-27.6665649414,,1770496273.763263
