pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,uptime,timestamp
110.78,-2.49,104209.62,-4.88,,-2.88,-8.18,867.48,-0.8808574677,-0.5817527771,1300730,1775935285.434238
111.14,-2.57,104348.12,-4.61,,-3.19,-7.87,867.42,-1.1560401917,-0.4282608032,1300740,1775935285.438325
111.14,-2.57,104348.12,-4.61,,-3.19,-7.87,867.42,-1.1560401917,-0.4282608032,1300740,1775935285.477178
111.62,-2.15,104348.12,-4.84,,-3.11,-7.83,866.99,-0.7948970795,-0.7316741943,1300750,1775935285.481792
109.57,-2.15,104313.51,-4.65,,-3.22,-7.56,866.99,-0.8154373169,-0.6745643616,1300760,1775935285.482721
109.57,-2.15,104313.51,-4.65,,-3.22,-7.56,866.99,-0.8154373169,-0.6745643616,1300760,1775935285.483752
110.66,-2.60,104426.03,-4.65,,-2.92,-7.87,866.99,-0.9084262848,-0.6959762573,1300770,1775935285.484683
110.66,-2.60,104426.03,-4.65,,-2.92,-7.87,866.99,-0.9084262848,-0.6959762573,1300770,1775935285.485624
111.62,-2.49,104443.34,-4.61,,-3.45,-7.83,867.42,-0.7229900360,-1.1992912292,1300780,1775935285.486594
111.62,-2.49,104443.34,-4.61,,-3.45,-7.83,867.42,-0.7229900360,-1.1992912292,1300780,1775935285.4876091
111.62,-2.11,104348.12,-4.53,,-2.84,-7.91,866.87,-1.0062828064,-0.7923583984,1300790,1775935285.488502
111.62,-2.11,104348.12,-4.53,,-2.84,-7.91,866.87,-1.0062828064,-0.7923583984,1300790,1775935285.489444
112.71,-2.22,104426.03,-4.53,,-3.19,-7.87,866.99,-0.8900470734,-0.7102584839,1300800,1775935285.54169
112.71,-2.22,104426.03,-4.53,,-3.19,-7.87,866.99,-0.8900470734,-0.7102584839,1300800,1775935285.5445828
111.62,-2.11,104417.38,-4.61,,-3.15,-7.83,867.42,-0.8143577576,-0.9137229919,1300810,1775935285.546001
111.62,-2.11,104417.38,-4.61,,-3.15,-7.83,867.42,-0.8143577576,-0.9137229919,1300810,1775935285.547246
111.14,-2.11,104434.68,-4.53,,-2.80,-7.45,866.93,-0.9538402557,-0.4425392151,1300820,1775935285.54889
111.14,-2.11,104434.68,-4.53,,-2.80,-7.45,866.93,-0.9538402557,-0.4425392151,1300820,1775935285.550324
110.90,-2.49,104426.03,-4.57,,-3.15,-8.22,866.81,-0.9165363312,-0.3961372375,1300830,1775935285.551268
110.90,-2.49,104426.03,-4.57,,-3.15,-8.22,866.81,-0.9165363312,-0.3961372375,1300830,1775935285.552292
109.70,-2.45,104313.51,-4.53,,-2.80,-7.83,867.42,-0.9343795776,-0.9779739380,1300840,1775935285.5681212
109.70,-2.45,104313.51,-4.53,,-2.80,-7.83,867.42,-0.9343795776,-0.9779739380,1300840,1775935285.572133
111.02,-2.15,104434.68,-4.04,,-2.84,-7.99,867.66,-0.8813972473,-0.5817527771,1300850,1775935285.573257
111.02,-2.15,104434.68,-4.04,,-2.84,-7.99,867.66,-0.8813972473,-0.5817527771,1300850,1775935285.574443
107.17,-2.07,104339.46,-4.57,,-2.46,-7.87,866.99,-0.7765121460,-0.6317253113,1300860,1775935285.5755122
107.17,-2.07,104339.46,-4.57,,-2.46,-7.87,866.99,-0.7765121460,-0.6317253113,1300860,1775935285.576538
111.26,-2.18,104313.51,-4.61,,-2.84,-9.60,866.99,-1.0484542847,-0.3997039795,1300870,1775935285.577614
111.26,-2.18,104313.51,-4.61,,-2.84,-9.60,866.99,-1.0484542847,-0.3997039795,1300870,1775935285.578657
107.77,-2.49,104313.51,-4.57,,-2.88,-7.91,866.93,-1.0668334961,-1.0886306763,1300880,1775935285.579843
107.77,-2.49,104313.51,-4.57,,-2.88,-7.91,866.93,-1.0668334961,-1.0886306763,1300880,1775935285.62181
111.38,-2.15,104209.62,-4.57,,-2.88,-7.87,866.99,-0.7424545288,-0.4389686584,1300890,1775935285.6269991
111.02,-2.07,104417.38,-4.57,,-3.19,-7.83,867.48,-0.9230232239,-0.1891021729,1300900,1775935285.6290822
111.02,-2.07,104417.38,-4.57,,-3.19,-7.83,867.48,-0.9230232239,-0.1891021729,1300900,1775935285.632234
111.02,-2.11,104348.12,-4.92,,-2.80,-8.22,867.05,-0.8251686096,-0.7673721313,1300910,1775935285.63442
111.02,-2.11,104348.12,-4.92,,-2.80,-8.22,867.05,-0.8251686096,-0.7673721313,1300910,1775935285.635722
111.62,-2.15,104313.51,-4.57,,-2.88,-7.87,866.99,-0.7889480591,-0.2961883545,1300920,1775935285.636937
111.62,-2.15,104313.51,-4.57,,-2.88,-7.87,866.99,-0.7889480591,-0.2961883545,1300920,1775935285.638179
111.38,-2.41,104426.03,-4.57,,-2.80,-7.99,866.81,-0.9981727600,-0.3033294678,1300930,1775935285.643174
111.38,-2.41,104426.03,-4.57,,-2.80,-7.99,866.81,-0.9981727600,-0.3033294678,1300930,1775935285.644362
111.50,-2.07,104278.88,-4.30,,-2.80,-7.87,866.93,-0.9792518616,-0.5282096863,1300940,1775935285.674069
114.87,-2.18,104313.51,-4.69,,-3.26,-7.83,866.99,-1.0554771423,-0.4818077087,1300950,1775935285.6776378
114.87,-2.18,104313.51,-4.69,,-3.26,-7.83,866.99,-1.0554771423,-0.4818077087,1300950,1775935285.6796439
111.62,-2.07,104408.71,-4.50,,-3.11,-7.95,867.05,-1.0387191772,-0.9172935486,1300960,1775935285.6809359
111.62,-2.07,104408.71,-4.50,,-3.11,-7.95,867.05,-1.0387191772,-0.9172935486,1300960,1775935285.682076
111.62,-2.07,104209.62,-4.69,,-2.84,-8.14,866.75,-0.6716327667,-0.4532470703,1300970,1775935285.6831932
111.62,-2.07,104209.62,-4.69,,-2.84,-8.14,866.75,-0.6716327667,-0.4532470703,1300970,1775935285.684265
111.50,-2.18,104313.51,-4.88,,-2.77,-7.99,867.18,-0.9300518036,-0.2247962952,1300980,1775935285.685376
111.50,-2.18,104313.51,-4.88,,-2.77,-7.99,867.18,-0.9300518036,-0.2247962952,1300980,1775935285.686691
111.02,-2.49,104443.34,-4.65,,-2.92,-7.83,866.99,-1.1008911133,-0.4746665955,1300990,1775935285.687925
111.02,-2.49,104443.34,-4.65,,-2.92,-7.83,866.99,-1.1008911133,-0.4746665955,1300990,1775935285.73506
103.91,-2.37,104175.01,-4.69,,-2.88,-8.18,866.99,-0.8354434967,-0.5460586548,1301000,1775935285.7397308
103.91,-2.37,104175.01,-4.69,,-2.88,-8.18,866.99,-0.8354434967,-0.5460586548,1301000,1775935285.743268
111.62,-2.53,104313.51,-4.69,,-2.88,-7.79,866.93,-0.9057254791,-0.8637504578,1301010,1775935285.745732
111.62,-2.53,104313.51,-4.69,,-2.88,-7.79,866.93,-0.9057254791,-0.8637504578,1301010,1775935285.7516181
111.50,-2.07,104348.12,-4.53,,-2.80,-7.91,867.05,-1.0127696991,-0.3497314453,1301020,1775935285.7526321
111.50,-2.07,104348.12,-4.53,,-2.80,-7.91,867.05,-1.0127696991,-0.3497314453,1301020,1775935285.753545
111.62,-2.18,104209.62,-4.53,,-2.96,-7.83,866.99,-0.7954368591,-0.7281074524,1301030,1775935285.754455
111.62,-2.18,104209.62,-4.53,,-2.96,-7.83,866.99,-0.7954368591,-0.7281074524,1301030,1775935285.75543
107.77,-2.11,104313.51,-4.50,,-3.15,-8.37,866.99,-1.0814304352,-0.7566604614,1301040,1775935285.770354
